Word,Split
लोपसङ्ग,लोप+सङ्ग
तरैया,तर+एया
मनायें,मना+यें
तज्जातीयत्वं च,तज्जातीयत्वम्+ च
ज्ञातमस्ति,ज्ञातम्+अस्ति
व्यभिचारादीनां तादृशज्ञानावृत्तित्वेन,व्यभिचारादीनाम्+ तादृशज्ञानावृत्तित्वेन
कञ्जास,कञ्ज+आस
रुकवाने,रुकवा+ने
गैरशिक्षण,गैर+शिक्षण
द्रव्यत्वावच्छिन्नविशेष्यकोपस्थितिरूपकारणविरहान्न,द्रव्यत्वावच्छिन्नविशेष्यकोपस्थितिरूपकारणविरहात्+न
सहयोग,सह+योग
शब्दो बाह्येन्द्रियग्राह्यत्वात्,शब्दः+ बाह्येन्द्रियग्राह्यत्वात्
तुच्छत्वाच्छशविषाणवदन्यन्तासत्त्वादित्यर्थः,तुच्छत्वात्+शशविषाणवत्+अन्यन्तासत्त्वात्+इत्यर्थः
समझायेगी,समझा+येगी
अनुभवपदकृत्यमाह,अनुभवपदकृत्यम्+आह
षत्,षत्
वामदेवश्च,वामदेवः+च
दिख्,दिख्
हृदयम्,हृदयम्
तस्याप्यभीष्टशत्रुवधसाधनतया,तस्य+अपि+अभीष्टशत्रुवधसाधनतया
घाघरा-चोली,घाघरा+चोली
तदेवमपरात्मतत्त्वज्ञानं परलोकसद्‌भावेन,तदेवम्+अपरात्मतत्त्वज्ञानम्+ परलोकसद्‌भावेन
कर्तृमुचितः--तथापि,कर्तुम्+उचितः--तथापि
सहवृत,सह+वृत
विशेष्यवाचकपदेऽस्ति,विशेष्यवाचकपदे+अस्ति
बुल्,बुल्
भवदपि,भवत्+अपि
राज्यर,राजि+अर
निरवच्छिन्नावच्छेदकताक,निरवच्छिन्न+अवच्छेदकताक
तरदहा,तर+दहा
गमकने,गम+कने
प्रत्यक्षफल,प्रति+अक्ष+फल
करछुल,करछुल
डॉयरेक्टर,डॉयरेक्टर
यथाशब्दस्यायमेवार्थः,यथाशब्दस्य+अयम्+एव+अर्थः
परीक्षाया लक्षणमाह,परीक्षायाः+ लक्षणम्+आह
डिम्बक्षरण,डिम्ब+क्षरण
दुरदृष्टजनकत्वादिति,दुरदृष्टजनकत्वात्+इति
करकटगढ,करकट+गढ
नाशो यदा,नाशः+यदा
तेन्दू,तेन्दू
अधिकबलत्वं तत्राप्रयोजकम्,अधिकबलत्वम्+ तत्र+अप्रयोजकम्
कनयाल,कन+य+आल
तडफडाती,तड+फडा+ती
अनर्थदण्ड,अनर्थ+दण्ड
तदभावासिद्धिरित्यत आह---एकेति,तत्+अभावासिद्धिः+इति+अतः+ आह---एक+इति
वक्तीत्यादेर्गोनिष्ठविषयतानिरूपकबोधजनकत्वप्रकारता-,वक्तीत्यादेः+गोनिष्ठविषयतानिरूपकबोधजनकत्वप्रकारता-
अलगलग,अल+गल+ग
चमकाये,चमका+ये
वच्यादिधातोरर्थस्तदाश्रयत्वात्म,वच्यादिधातोः+अर्थः+तदाश्रयत्वात्म
तथाचोक्तयुक्तिप्रयोज्यं यद्धेतुत्वं,तथाच+उक्तयुक्तिप्रयोज्यम्+ यद्धेतुत्वम्+
द्वितीयार्थविभागान्वेतीति,द्वितीयार्थविभागान्वेति+इति
इत्यादिप्रयोगाणां न,इत्यादिप्रयोगाणाम्+ न
अरद,अर+द
पद्मकुण्ड,पद्म+कुण्ड
४.वृत्तिमन्मेयत्वावच्छिन्नं ५.न,४.वृत्तिम****न्मेयत्वावच्छिन्नम्+ ५.न
नागभुवनादयश्च,नागभुवनादयः+च
तत्रान्वयमुखेन,तत्र+अन्वयमुखेन
रामरस,राम+रस
तद्धीन,तत्+हीन
इत्यादावभेदाऽन्वयवारणाय,इत्यादौ+अभेद+अन्वयवारणाय
आकाशं पश्यति,आकाशम्+ पश्यति
पितृतर्पण,पितृ+तर्पण
अधिकरणग्रहणोपक्षीणत्वादिन्द्रियव्यापारस्य,अधिकरणग्रहणोपक्षीणत्वात्+इन्द्रियव्यापारस्य
ब्रिज,ब्रिज
अतस्तद्वारणायाप्रमाण्यग्रहाभावविशिष्टतादृशशक्तिज्ञानव्यवहितोत्तरत्वस्याप्रमाण्यग्रहाभावविशिष्टतादृशशक्तिज्ञानकार्यताऽवच्छेदके,अतः+तद्वारणाय+अप्रमाण्यग्रहाभावविशिष्टतादृशशक्तिज्ञानव्यवहितोत्तरत्वस्य+अप्रमाण्यग्रहाभावविशिष्टतादृशशक्तिज्ञानकार्यताऽवच्छेदके
सार,सार
व्याप्यत्वमपि न्यूनवृत्तित्वरूपं,अव्याप्यात्वघटकम्+ व्याप्यत्वम्+अपि
गोपनीय,गोपनीय
लदवायेगी,लदवा+येगी
"खल्वनित्यो दृष्टः,","खलु+अनित्यः+ दृष्टः,"
सपाट,सपाट
नीलोघट,नीलः+घट
हडकाकर,हडका+कर
दमकलें,दमकल+ें
भटकाऊं,भटका+ऊं
राजबब्बर,राज+बब्बर
बैङ्गनी,बैङ्गनी
गोबर,गोबर
त्रसन,त्रस्+अन
लिङाशिषि,लिङ्+आशिषि
वासुदेवश्च,वासुदेवः+च
"कर्तृत्वादिकं कारकमेव,","कर्तृत्वादिकम्+ कारकम्+एव,"
खोदते,खोद+ते
गढेङ्गी,गढ+ेङ्गी
जीवभूतां महाबाहो ययेदं धार्यते,जीवभूताम्+महाबाहः+यया+इदम्+धार्यते
शाच्छासाह्वाव्यावेपां युक्,शाच्छासाह्वाव्यावेपाम्+युक्
भडगांव,भड+गांव
घटादेर्वाच्यत्वेन,घटादेः+वाच्यत्वेन
इत्याद्यव्यवहितग्रन्थ इत्यर्थः,इत्याद्यव्यवहितग्रन्थः+ इत्यर्थः
खोऊङ्गी,खो+ऊङ्गी
अन्यथोदाहरणमपि,अन्यथा+उदाहरणम्+अपि
मॉर्लो,मॉर्लो
क्षमाधर,क्षमा+धर
अत एवाह---व्यभिचारादेरपीति,अतः+ एव+आह---व्यभिचारादेः+अपि+इति
तदर्थान्तरमित्यर्थः,तदर्थान्तरम्+इत्यर्थः
भ्रान्तविप्रलम्भकवाक्यस्याप्यागमता,भ्रान्तविप्रलम्भकवाक्यस्य+अपि+आगमता
लिपटाना,लिपटा+ना
(70)तस्याभिव्यञ्जकस्यानिर्देशादकथनाद्विशेषेणेति,(70)तस्य+अभिव्यञ्जकस्य+अनिर्देशात्+अकथनात्+विशेषेण+इति
पतहना,पत+हना
यत्क्षीरवृत्तिक्षरणं तज्जन्यविभागाश्रयो,यत्+क्षीरवृत्तिक्षरणम्+ तज्जन्यविभागाश्रयः+
कार्यविशेषणत्वादिति,कार्यविशेषणत्वात्+इति
छूं,छूं
एवं तर्हि,एवम्+तर्हि
हरभिदर,हर+भित्+अर
प्रतियोग्यनुयोगिउभयवृत्तित्वनियमेन,प्रतियोगि+अनुयोगिउभयवृत्तित्वनियमेन
मन्मते,मत्+मते
शिष्योपाध्यायबुद्धीनामस्तीति,शिष्योपाध्यायबुद्धीनाम्+अस्ति+इति
निगमनगर,निगम+नगर
तस्मादिति,तस्मात्+इति
गला,गला
स्वसमभिव्याहृतक्रियाकारकपदं तादृशक्रियाकारकाधिकरणकारकपरमिति,स्वसमभिव्याहृतक्रियाकारकपदम्+ तादृशक्रियाकारकाधिकरणकारकपरम्+इति
नामार्थयोरभेदेनैवान्वयादत,नामार्थयोः+अभेदेन+एव+अन्वयात्+अत
कृतकत्वादवशिष्टे,कृतकत्वात्+अवशिष्टे
भूमिं पततीति,भूमिम्+ पतति+इति
तीरं गङ्गापदनिष्ठजनकताकत्वेनेच्छाविषयताऽवच्छेदकं,तीरम्+ गङ्गापदनिष्ठजनकताकत्वेन+इच्छाविषयताऽवच्छेदकम्+
हिरण्याक्षश्च,हिरण्याक्षः+च
बरसाऊङ्गा,बरसा+ऊङ्गा
धेनुको नाम,धेनुकः+नाम
घटद्वयानुपस्थापकत्वादिति,घटद्वयानुपस्थापकत्वात्+इति
जातिनिरूपितवृत्तित्वस्याभावो बोधनीय,जातिनिरूपितवृत्तित्वस्याभावः+ बोधनीय
जररुतमन्द,जर+रुत+मन्द
जनिरभवत्,जनिः+अभवत्
कार्योत्पत्तिर्मानम्,कार्योत्पत्तिः+मानम्
तदर्थितयेति,तदर्थितया+इति
नाहमधुना,न+अहम्+अधुना
स्तोकं पचतीत्यादौ,स्तोकम्+ पचति+इत्यादौ
भुट्टा,भुट्टा
विश्रुतोऽप्यहं,विश्रुतः+अपि+अहं
मंगायेगी,मंगा+येगी
सब्स्क्रिप्शन,सब्स्क्रिप्शन
रॉड्स,रॉड्स
शुभचन्द,शुभ+चन्द
पाकानुकूलकृत्यादिप्रकारकेत्यर्थः,पाकानुकूलकृति+आदिप्रकारक+इत्यर्थः
भवत्वित्याकारकस्य,भवतु+इत्याकारकस्य
उक्तन्यायविरोधादित्याशंकते,उक्तन्यायविरोधात्+इति+आशंकते
चारस्तम्भ,चार+स्तम्भ
स्वार्थमिति,स्वार्थम्+इति
कश्चिद् बालः,कश्चित्+बालः
ततस्तेनाऽसौ,ततः+तेन+असौ
समञ्जित,समञ्ज्+इत
उपादानप्रत्यक्षस्यैव,उपादानप्रत्यक्षस्य+एव
बचनसिंह,बचन+सिंह
दबवाया,दबवा+या
जलो,जल+ो
तत्रातिव्याप्तिप्रसङ्गाभावात्,तत्र+अतिव्याप्तिप्रसङ्गाभावात्
चाऽगत्याख्यातार्थसंख्याप्रकारकबोधं प्रति,च+अगत्याख्यातार्थसंख्याप्रकारकबोधम्+ प्रति
"किं चेत्यादि,","किम्+ च+इत्यादि,"
मनस्यनैकान्तिका,मनसि+अनैकान्तिका
आवश्यकतामेवाह---अन्यथेति,आवश्यकताम्+एव+आह---अन्यथा+इति
"शक्तिरियान्परं भेदोऽस्तु,","शक्तिरियान्परम्+ भेदः+अस्तु,"
कटाऊंगी,कटा+ऊंगी
हरीष,हरि+ईष
युक्तावस्थायामात्मान्तःकरणसंयोगादेव,युक्तावस्थायामात्मान्तःकरणसंयोगात्+एव
सदाशय,सद्+आशय
पुंविशेषं प्रति,पुंविशेषम्+ प्रति
माधवस्‍तु,माधवः+तु
ज्ञानलक्षणसमविहितेत्यर्थः,ज्ञानलक्षणसमविहित+इत्यर्थः
समूहो वाक्यमित्युक्तं,समूहः+वाक्यम्+इति+उक्तं
जायतेऽस्येति,जायते+अस्य+इति
जैनसन,जैन+सन
विशेषश्चेत्यर्थः,विशेषः+च+इत्यर्थः
बण्टवायेङ्गी,बण्टवा+येङ्गी
गायतीत्यादौ,गायति+इत्यादौ
परस्परं व्यभिचार,परस्परम्+व्यभिचार
तत्परोऽयं ग्रन्थः,तत्परः+अयम्+ग्रन्थः
यष्टा,यज्+ता
आह---यद्वेति,आह---यत्+वा+इति
उगलूं,उगल+ूं
अत एवकारः,अतः+ एवकारः
भोक्तव्यमित्यादौ,भोक्तव्यम्+इत्यादौ
पिघलनी,पिघल+नी
वयं त्वालोचयामः---अनुमितिप्रतिबन्धकतावच्छेदकवत्त्वगोचरयथार्थज्ञानविषयत्वमेव,वयम्+ तु+आलोचयामः---अनुमितिप्रतिबन्धकतावच्छेदकवत्त्वगोचरयथार्थज्ञानविषयत्वम्+एव
प्राणरञ्जन,प्राण+रञ्जन
प्रकाश्यत इत्यत,प्रकाश्यते+ इत्यतः+
तद् गृहमपि,तत्+गृहम्+अपि
नटेश्वर,नट+ईश्वर
मैत्रेयी,मैत्रेयी
